league,season,team,player,nation,pos,age,NINETIES,Performance_Gls,Performance_Ast,Performance_G+A,Performance_CrdY,Performance_CrdR,Standard_Sh,Standard_SoT,Standard_Sh/90,Standard_SoT/90,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Pass_Cmp,Pass_Att,Pass_CmpPct,Pass_PrgDist,Pass_Ast,Pass_KP,Pass_Final3rd,Pass_PPA,SCA90,GCA90,Touches,Carries,Carry_PrgDist,Carry_Final3rd,Carry_PPA
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,MF,20,3.3,0,0,0,0,0,20,11,6.12,3.37,3,7,0,20,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,MF,27,28.9,10,4,14,1,0,57,27,1.97,0.93,40,24,5,72,12,27,,,,,4,,,,,,,,,,
ENG-Premier League,2425,Brighton,Lewis Dunk,ENG,DF,32,23.1,0,0,0,5,0,12,3,0.52,0.13,7,11,2,5,12,11,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,"DF,MF",24,11.3,1,3,4,6,0,9,4,0.8,0.35,23,10,1,14,16,34,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,23,10.4,2,2,4,1,0,22,7,2.11,0.67,16,13,2,50,13,8,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26,26.7,1,1,2,5,0,28,9,1.05,0.34,36,20,3,119,39,44,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,MF,22,12.2,2,2,4,0,0,33,8,2.71,0.66,13,4,4,42,9,16,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Brighton,Solly March,ENG,MF,30,1.9,0,0,0,2,0,2,0,1.07,0.0,2,2,3,20,2,3,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,"DF,MF",23,9.6,2,2,4,0,0,6,2,0.63,0.21,15,10,0,28,7,11,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,MF,20,20.4,6,4,10,6,0,34,16,1.66,0.78,21,11,6,90,12,36,,,,,4,,,,,,,,,,
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,20,21.8,2,1,3,3,0,28,8,1.28,0.37,36,26,3,70,20,32,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26,4.0,1,0,1,1,0,2,1,0.49,0.25,2,0,0,0,2,4,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23,3.7,0,0,0,0,0,0,0,0.0,0.0,6,2,0,1,6,6,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,"MF,FW",26,10.2,3,2,5,2,0,25,12,2.44,1.17,16,11,3,6,7,8,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,MF,22,35.5,15,8,23,7,0,126,51,3.55,1.44,15,60,7,145,10,18,,,,,8,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23,32.7,6,7,13,8,0,53,20,1.62,0.61,52,54,2,111,13,32,,,,,7,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22,6.0,0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,MF,24,19.6,3,4,7,2,0,24,8,1.22,0.41,6,11,6,24,2,7,,,,,4,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,18,1.9,0,0,0,1,0,2,0,1.06,0.0,1,1,0,0,1,1,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Chelsea,João Félix,POR,MF,24,4.1,1,1,2,2,0,20,6,4.88,1.46,6,17,1,0,3,3,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,25,2.9,0,1,1,0,0,1,0,0.34,0.0,4,6,0,2,1,5,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21,35.0,2,1,3,9,0,17,4,0.49,0.11,46,21,4,12,32,35,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Malo Gusto,FRA,DF,21,20.7,0,1,1,4,0,22,5,1.06,0.24,20,20,2,54,25,31,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Marc Cucurella,ESP,DF,26,33.2,5,1,6,10,1,24,12,0.72,0.36,37,38,3,29,26,46,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Marc Guiu,ESP,FW,18,0.8,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Mathis Amougou,FRA,MF,18,0.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Moisés Caicedo,ECU,"MF,DF",22,37.2,1,2,3,11,0,20,3,0.54,0.08,69,58,0,10,47,74,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Mykhailo Mudryk,UKR,MF,23,1.7,0,0,0,0,0,1,1,0.6,0.6,2,2,1,7,0,2,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Nicolas Jackson,SEN,FW,23,24.7,10,5,15,7,1,76,35,3.08,1.42,35,29,23,3,3,11,,,,,5,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Noni Madueke,ENG,MF,22,22.6,7,3,10,3,0,80,32,3.54,1.42,22,24,5,63,8,18,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Pedro Neto,POR,"MF,FW",24,25.2,4,6,10,8,0,59,17,2.34,0.67,21,33,3,149,8,10,,,,,6,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Reece James,ENG,"DF,MF",24,11.8,1,1,2,1,0,11,3,0.93,0.25,8,11,0,43,14,9,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Renato Veiga,POR,MF,21,2.0,0,0,0,2,0,3,1,1.49,0.5,6,1,1,0,1,6,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,26,32.0,0,0,0,5,0,0,0,0.0,0.0,2,4,0,0,2,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Roméo Lavia,BEL,MF,20,8.9,0,1,1,4,0,2,0,0.23,0.0,16,7,0,0,16,13,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Shumaira Mheuka,ENG,FW,16,0.0,0,0,0,0,0,1,1,90.0,90.0,0,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Tosin Adarabioyo,ENG,DF,26,15.7,1,1,2,4,0,13,2,0.83,0.13,8,9,1,0,10,13,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Trevoh Chalobah,ENG,DF,25,10.1,0,1,1,2,0,7,3,0.69,0.3,9,7,0,3,9,7,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Tyrique George,ENG,FW,18,2.0,1,1,2,1,0,3,1,1.48,0.49,3,0,2,3,2,0,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Chelsea,Wesley Fofana,FRA,DF,23,13.0,0,0,0,7,0,3,0,0.23,0.0,24,16,0,1,12,11,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Adam Wharton,ENG,MF,20,14.6,0,2,2,2,0,13,5,0.89,0.34,12,21,0,39,19,16,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Asher Agbinone,ENG,MF,18,0.1,0,0,0,0,0,1,0,15.0,0.0,0,0,0,1,0,1,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Ben Chilwell,ENG,MF,27,2.9,1,0,1,1,0,5,3,1.74,1.04,2,3,2,7,6,6,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Caleb Kporha,ENG,DF,18,0.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,1,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Chadi Riad,MAR,DF,21,1.0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,2,2,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Cheick Doucouré,MLI,MF,24,5.0,0,0,0,1,0,7,0,1.39,0.0,7,7,0,1,11,9,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Chris Richards,USA,DF,24,21.4,1,0,1,4,1,12,6,0.56,0.28,11,5,1,5,18,30,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Daichi Kamada,JPN,MF,27,17.4,0,0,0,4,1,20,4,1.15,0.23,28,21,2,32,18,29,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Daniel Muñoz,COL,MF,28,35.9,4,5,9,10,0,37,18,1.03,0.5,56,19,15,74,43,77,,,,,5,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27,38.0,0,0,0,3,0,1,0,0.03,0.0,0,2,0,0,1,1,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Eberechi Eze,ENG,MF,26,28.8,8,8,16,1,0,102,29,3.55,1.01,13,51,9,110,10,21,,,,,8,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Eddie Nketiah,ENG,"FW,MF",25,11.5,3,1,4,6,1,43,16,3.74,1.39,31,29,5,5,2,8,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,MF,26,30.1,8,6,14,4,0,59,29,1.96,0.96,14,55,11,55,8,11,,,,,6,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27,29.4,14,2,16,2,0,69,33,2.35,1.12,27,29,22,26,2,12,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",29,25.3,0,1,1,9,0,26,8,1.03,0.32,35,39,0,12,41,19,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Jeffrey Schlupp,GHA,"DF,FW",31,1.1,0,0,0,0,0,4,2,3.5,1.75,1,0,0,4,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Joachim Andersen,DEN,DF,28,1.0,0,0,0,1,0,1,1,1.0,1.0,2,0,0,1,0,1,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Joel Ward,ENG,DF,34,0.8,0,0,0,1,0,0,0,0.0,0.0,4,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",32,0.2,0,0,0,1,0,1,0,4.29,0.0,1,0,0,1,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,20,5.6,1,1,2,1,0,10,6,1.78,1.07,9,0,1,18,0,11,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24,34.0,3,2,5,9,1,15,7,0.44,0.21,23,27,1,13,29,32,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Matheus França,BRA,FW,20,0.6,1,0,1,0,0,6,3,9.82,4.91,0,0,0,1,1,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,24,34.6,1,1,2,5,0,30,6,0.87,0.17,34,19,1,7,54,42,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",33,5.4,0,0,0,1,0,2,0,0.37,0.0,2,2,0,7,3,8,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Odsonne Édouard,FRA,MF,26,1.3,0,0,0,0,0,5,1,3.91,0.78,4,0,2,1,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Romain Esse,ENG,MF,19,1.5,1,1,2,0,0,1,1,0.65,0.65,2,3,0,0,1,5,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25,11.8,3,0,3,1,0,11,4,0.93,0.34,10,15,1,7,20,15,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,MF,24,34.4,0,5,5,2,0,12,3,0.35,0.09,23,25,2,107,21,53,,,,,5,,,,,,,,,,
ENG-Premier League,2425,Crystal Palace,Will Hughes,ENG,MF,29,23.4,0,3,3,11,0,22,1,0.94,0.04,65,31,0,70,21,36,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,31,28.5,3,2,5,5,1,31,10,1.09,0.35,49,5,10,23,11,28,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Everton,Armando Broja,ALB,FW,22,3.7,0,0,0,1,0,4,0,1.08,0.0,6,4,3,1,1,1,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Everton,Ashley Young,ENG,DF,39,20.8,1,3,4,7,1,6,3,0.29,0.14,30,22,0,75,26,36,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Everton,Beto,GNB,FW,26,17.0,8,0,8,2,0,49,23,2.87,1.35,33,23,16,4,4,7,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Everton,Carlos Alcaraz,ARG,MF,21,8.5,2,3,5,4,0,26,11,3.06,1.3,13,12,1,11,5,4,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Everton,Dominic Calvert-Lewin,ENG,FW,27,17.9,3,1,4,2,0,50,20,2.8,1.12,27,23,27,6,7,7,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Everton,Dwight McNeil,ENG,MF,24,15.2,4,6,10,1,0,24,10,1.58,0.66,6,18,1,104,6,8,,,,,6,,,,,,,,,,
ENG-Premier League,2425,Everton,Harrison Armstrong,ENG,MF,17,0.5,0,0,0,1,0,1,0,1.87,0.0,2,2,0,1,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Everton,Idrissa Gueye,SEN,MF,34,34.0,0,3,3,9,0,27,5,0.79,0.15,55,46,0,7,46,76,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Everton,Iliman Ndiaye,SEN,"MF,FW",24,27.0,9,0,9,3,0,37,17,1.37,0.63,24,52,5,37,19,27,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Everton,Jack Harrison,ENG,"MF,FW",27,23.1,1,0,1,0,0,29,7,1.26,0.3,13,28,4,131,9,23,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Everton,Jake O'Brien,IRL,DF,23,17.5,2,0,2,5,0,6,3,0.34,0.17,13,4,3,18,4,17,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Everton,James Garner,ENG,"MF,DF",23,17.7,0,1,1,5,0,12,4,0.68,0.23,20,15,0,55,20,32,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Everton,James Tarkowski,ENG,DF,31,32.5,1,1,2,6,0,15,4,0.46,0.12,35,29,1,1,37,40,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Everton,Jarrad Branthwaite,ENG,DF,22,27.9,0,1,1,4,0,10,3,0.36,0.11,12,18,2,6,24,21,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Everton,Jesper Lindstrøm,DEN,MF,24,13.8,0,1,1,2,0,28,10,2.03,0.73,15,10,1,72,13,24,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30,38.0,0,1,1,7,0,0,0,0.0,0.0,0,7,0,0,1,1,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Everton,Mason Holgate,JAM,DF,27,0.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Everton,Michael Keane,ENG,DF,31,11.7,3,0,3,5,0,10,4,0.86,0.34,9,0,0,1,13,10,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Everton,Nathan Patterson,SCO,DF,22,3.9,0,1,1,1,0,1,0,0.26,0.0,5,1,0,14,2,6,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Everton,Orel Mangala,BEL,MF,26,14.0,1,0,1,2,0,16,6,1.14,0.43,24,17,2,6,21,8,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Everton,Roman Dixon,ENG,DF,19,1.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,5,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Everton,Séamus Coleman,IRL,DF,35,2.4,0,0,0,1,0,1,1,0.42,0.42,0,1,0,4,1,2,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Everton,Tim Iroegbunam,ENG,MF,21,6.4,0,1,1,4,0,5,0,0.78,0.0,15,12,0,1,14,13,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Everton,Vitaliy Mykolenko,UKR,DF,25,34.2,1,2,3,4,0,14,1,0.41,0.03,22,34,3,100,42,38,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Everton,Youssef Chermiti,POR,FW,20,0.5,0,0,0,1,0,3,1,6.0,2.0,1,1,2,1,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Fulham,Adama Traoré,ESP,MF,28,19.7,2,7,9,3,0,39,12,1.98,0.61,24,32,1,100,1,13,,,,,7,,,,,,,,,,
ENG-Premier League,2425,Fulham,Alex Iwobi,NGA,MF,28,33.1,9,6,15,1,0,68,29,2.05,0.88,19,18,5,127,13,26,,,,,6,,,,,,,,,,
ENG-Premier League,2425,Fulham,Andreas Pereira,BRA,MF,28,22.4,2,4,6,7,0,39,9,1.74,0.4,29,24,1,173,9,12,,,,,4,,,,,,,,,,
ENG-Premier League,2425,Fulham,Antonee Robinson,USA,"DF,MF",26,35.2,0,10,10,8,0,16,2,0.45,0.06,31,20,7,172,57,57,,,,,10,,,,,,,,,,
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32,38.0,0,1,1,5,0,0,0,0.0,0.0,0,4,0,0,0,2,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Fulham,Calvin Bassey,NGA,DF,24,34.2,1,0,1,7,0,14,4,0.41,0.12,26,31,2,9,19,33,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Fulham,Carlos Vinícius,BRA,FW,29,0.2,0,0,0,0,0,1,1,5.63,5.63,0,2,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Fulham,Emile Smith Rowe,ENG,MF,24,22.7,6,3,9,3,0,37,11,1.63,0.48,19,15,4,16,11,18,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Fulham,Harrison Reed,ENG,MF,29,1.2,0,0,0,2,0,3,2,2.5,1.67,6,2,0,6,1,2,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Fulham,Harry Wilson,WAL,"MF,FW",27,12.9,6,1,7,2,0,43,17,3.33,1.32,12,22,1,41,6,15,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Fulham,Issa Diop,MAR,DF,27,14.9,0,0,0,2,0,5,2,0.34,0.13,10,4,0,1,9,12,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Fulham,Jay Stansfield,ENG,"FW,MF",21,0.0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Fulham,Joachim Andersen,DEN,DF,28,28.7,0,0,0,6,1,19,5,0.66,0.17,18,19,0,12,33,16,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Fulham,Jorge Cuenca,ESP,DF,24,3.9,0,0,0,0,0,1,0,0.26,0.0,2,2,0,1,2,2,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Fulham,Joshua King,ENG,MF,17,1.4,0,0,0,0,0,3,0,2.08,0.0,3,2,0,2,1,5,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Fulham,Kenny Tete,NED,DF,28,19.7,0,2,2,5,0,24,2,1.22,0.1,35,16,1,38,30,38,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Fulham,Martial Godo,CIV,"FW,MF",21,0.3,0,0,0,0,0,0,0,0.0,0.0,1,0,0,1,1,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Fulham,Raúl Jiménez,MEX,FW,33,27.7,12,3,15,4,0,96,33,3.46,1.19,39,41,15,22,11,24,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Fulham,Reiss Nelson,ENG,MF,24,5.4,1,1,2,1,0,12,6,2.22,1.11,6,9,1,25,5,5,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Fulham,Rodrigo Muniz,BRA,FW,23,10.7,8,1,9,1,0,40,19,3.73,1.77,11,31,3,1,4,6,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Fulham,Ryan Sessegnon,ENG,"MF,DF",24,6.4,4,2,6,1,0,14,8,2.17,1.24,20,4,1,15,4,12,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Fulham,Sander Berge,NOR,MF,26,24.7,0,0,0,6,0,3,1,0.12,0.04,30,10,0,3,21,32,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Fulham,Saša Lukić,SRB,MF,27,26.0,0,2,2,12,0,18,3,0.69,0.12,66,26,0,63,26,38,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Fulham,Timothy Castagne,BEL,"DF,MF",28,18.3,0,1,1,1,0,8,3,0.44,0.16,15,6,1,38,23,31,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Fulham,Tom Cairney,SCO,MF,33,7.0,2,0,2,3,1,11,4,1.58,0.57,8,19,0,20,4,4,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Fulham,Willian,BRA,"MF,FW",35,2.9,0,0,0,0,0,7,0,2.45,0.0,1,0,0,16,1,2,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Alex Palmer,ENG,GK,27,13.0,0,0,0,2,0,0,0,0.0,0.0,1,4,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Ali Al Hamadi,IRQ,FW,22,1.5,0,0,0,3,0,4,0,2.69,0.0,8,3,1,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,25,18.0,0,0,0,1,0,0,0,0.0,0.0,0,4,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Axel Tuanzebe,COD,DF,26,19.0,0,1,1,5,1,4,0,0.21,0.0,17,12,0,10,22,19,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Ben Godfrey,ENG,DF,26,1.8,0,0,0,1,0,0,0,0.0,0.0,1,0,0,0,2,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Ben Johnson,ENG,"MF,DF",24,15.0,1,2,3,5,1,7,3,0.47,0.2,27,6,1,37,13,20,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Cameron Burgess,AUS,DF,28,17.1,0,2,2,0,0,10,3,0.58,0.18,6,4,1,0,10,13,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Chiedozie Ogbene,IRL,MF,27,2.6,0,0,0,0,0,0,0,0.0,0.0,2,7,1,4,1,3,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,28,7.0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Conor Chaplin,ENG,"MF,FW",27,9.5,1,1,2,2,0,16,4,1.68,0.42,11,7,0,9,3,5,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Conor Townsend,ENG,DF,31,3.7,0,1,1,1,0,1,0,0.27,0.0,2,4,0,12,5,7,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Dara O'Shea,IRL,DF,25,34.7,0,2,2,6,0,22,2,0.63,0.06,21,25,3,8,33,30,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,George Edmundson,ENG,DF,26,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,George Hirst,SCO,FW,25,7.3,3,1,4,3,0,14,7,1.91,0.95,13,12,3,3,2,3,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Harry Clarke,ENG,DF,23,4.2,0,0,0,3,1,1,1,0.24,0.24,5,1,0,5,3,3,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Jack Clarke,ENG,MF,23,13.1,0,4,4,2,0,17,2,1.3,0.15,16,23,3,14,7,18,,,,,4,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Jack Taylor,IRL,MF,26,9.6,1,0,1,4,0,19,4,1.99,0.42,16,5,0,7,9,11,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Jacob Greaves,ENG,DF,23,24.5,1,0,1,5,0,10,4,0.41,0.16,16,21,1,1,21,22,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Jaden Philogene Bidace,ENG,MF,22,5.3,2,0,2,1,0,12,6,2.28,1.14,8,10,1,13,8,7,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Jens Cajuste,SWE,MF,24,21.8,1,1,2,2,0,12,1,0.55,0.05,23,22,0,10,29,22,,,,,1,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Julio Enciso,PAR,MF,20,9.7,2,3,5,3,0,32,11,3.31,1.14,9,21,0,20,1,9,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Kalvin Phillips,ENG,MF,28,13.7,0,0,0,6,1,11,2,0.8,0.15,28,21,0,20,18,20,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Leif Davis,ENG,DF,24,30.5,1,2,3,5,1,16,2,0.52,0.07,26,31,5,157,25,28,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Liam Delap,ENG,FW,21,28.8,12,2,14,12,0,68,32,2.36,1.11,72,51,14,5,2,8,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Luke Woolfenden,ENG,DF,25,13.2,0,0,0,2,0,1,0,0.08,0.0,5,2,1,0,21,6,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Marcus Harness,ENG,"FW,MF",28,0.5,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Massimo Luongo,AUS,MF,31,2.2,0,0,0,0,0,0,0,0.0,0.0,1,2,0,1,3,6,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Nathan Broadhead,WAL,MF,26,7.8,2,0,2,1,0,13,8,1.67,1.03,4,13,2,9,4,4,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Omari Hutchinson,ENG,MF,20,28.7,3,2,5,5,0,45,19,1.57,0.66,31,46,6,81,11,13,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Ipswich Town,Sam Morsy,EGY,MF,32,30.6,1,1,2,10,0,13,3,0.43,0.1,48,27,0,15,28,39,,,,,1,,,,,,,,,,
