league,season,team,player,nation,pos,age,NINETIES,Performance_Gls,Performance_Ast,Performance_G+A,Performance_CrdY,Performance_CrdR,Standard_Sh,Standard_SoT,Standard_Sh/90,Standard_SoT/90,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Pass_Cmp,Pass_Att,Pass_CmpPct,Pass_PrgDist,Pass_Ast,Pass_KP,Pass_Final3rd,Pass_PPA,SCA90,GCA90,Touches,Carries,Carry_PrgDist,Carry_Final3rd,Carry_PPA
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31,35.5,0,0,0,5,1,0,0,0.0,0.0,2,5,0,0,0,3,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Ezri Konsa,ENG,DF,26,32.6,2,0,2,1,0,11,5,0.34,0.15,9,47,1,5,24,20,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Ian Maatsen,NED,DF,22,12.7,1,2,3,2,0,19,5,1.5,0.4,11,9,3,51,18,18,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,ENG,MF,23,18.0,1,3,4,4,1,19,4,1.05,0.22,13,28,5,11,8,15,,,,,3,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,ENG,MF,22,3.7,0,0,0,4,1,7,0,1.9,0.0,13,8,1,4,3,5,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,John McGinn,SCO,MF,29,24.7,1,4,5,7,0,31,5,1.26,0.2,43,69,3,60,11,23,,,,,4,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Jáder Durán,COL,FW,20,7.1,7,0,7,3,1,31,15,4.37,2.12,14,15,5,3,0,7,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,SRB,DF,18,1.4,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,1,4,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,NED,"DF,MF",20,5.3,0,0,0,2,0,1,1,0.19,0.19,8,11,0,0,1,6,,,,,0,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Leon Bailey,JAM,MF,26,12.7,1,2,3,3,0,28,6,2.21,0.47,12,18,3,34,4,4,,,,,2,,,,,,,,,,
ENG-Premier League,2425,Aston Villa,Lucas Digne,FRA,DF,31,26.1,0,4,4,4,0,13,3,0.5,0.11,21,16,7,140,22,36,,,,,4,,,,,,,,,,
