match_id,team,Date,baseline,goals_scored,rest,home_adv,form,opp_form,season_stage,travel,predicted
0,Bournemouth,2015-08-08,0.880697731728931,0,0.08203474477462948,0.34261488630415415,0.0,-0.0,0.0004656216502119524,0.0,1.3058129844579265
0,Aston Villa,2015-08-08,0.880697731728931,1,0.08203474477462948,0.0,0.0,-0.0,0.0004656216502119524,0.05238281082503731,1.0155809089788097
1,Chelsea,2015-08-08,0.880697731728931,2,0.08203474477462948,0.34261488630415415,0.0,-0.0,0.0004656216502119524,0.0,1.3058129844579265
1,Swansea,2015-08-08,0.880697731728931,2,0.08203474477462948,0.0,0.0,-0.0,0.0004656216502119524,0.05238281082503731,1.0155809089788097
2,Everton,2015-08-08,0.880697731728931,2,0.08203474477462948,0.34261488630415415,0.0,-0.0,0.0004656216502119524,0.0,1.3058129844579265
2,Watford,2015-08-08,0.880697731728931,2,0.08203474477462948,0.0,0.0,-0.0,0.0004656216502119524,0.05238281082503731,1.0155809089788097
3,Leicester,2015-08-08,0.880697731728931,4,0.08203474477462948,0.34261488630415415,0.0,-0.0,0.0004656216502119524,0.0,1.3058129844579265
3,Sunderland,2015-08-08,0.880697731728931,2,0.08203474477462948,0.0,0.0,-0.0,0.0004656216502119524,0.05238281082503731,1.0155809089788097
4,Man United,2015-08-08,0.880697731728931,1,0.08203474477462948,0.34261488630415415,0.0,-0.0,0.0004656216502119524,0.0,1.3058129844579265
4,Tottenham,2015-08-08,0.880697731728931,0,0.08203474477462948,0.0,0.0,-0.0,0.0004656216502119524,0.06547851353129663,1.028676611685069
5,Norwich,2015-08-08,0.880697731728931,1,0.08203474477462948,0.34261488630415415,0.0,-0.0,0.0004656216502119524,0.0,1.3058129844579265
5,Crystal Palace,2015-08-08,0.880697731728931,3,0.08203474477462948,0.0,0.0,-0.0,0.0004656216502119524,0.05238281082503731,1.0155809089788097
6,Arsenal,2015-08-09,0.880697731728931,0,0.08203474477462948,0.34261488630415415,0.0,-0.0,0.0004656216502119524,0.0,1.3058129844579265
6,West Ham,2015-08-09,0.880697731728931,2,0.08203474477462948,0.0,0.0,-0.0,0.0004656216502119524,0.05238281082503731,1.0155809089788097
7,Newcastle,2015-08-09,0.880697731728931,2,0.08203474477462948,0.34261488630415415,0.0,-0.0,0.0004656216502119524,0.0,1.3058129844579265
7,Southampton,2015-08-09,0.880697731728931,2,0.08203474477462948,0.0,0.0,-0.0,0.0004656216502119524,0.05238281082503731,1.0155809089788097
8,Stoke,2015-08-09,0.880697731728931,0,0.08203474477462948,0.34261488630415415,0.0,-0.0,0.0004656216502119524,0.0,1.3058129844579265
8,Liverpool,2015-08-09,0.880697731728931,1,0.08203474477462948,0.0,0.0,-0.0,0.0004656216502119524,0.05238281082503731,1.0155809089788097
9,West Brom,2015-08-10,0.880697731728931,0,0.08203474477462948,0.34261488630415415,0.0,-0.0,0.0004656216502119524,0.0,1.3058129844579265
9,Man City,2015-08-10,0.880697731728931,3,0.08203474477462948,0.0,0.0,-0.0,0.0004656216502119524,0.05238281082503731,1.0155809089788097
10,Aston Villa,2015-08-14,0.880697731728931,0,0.06328394596899987,0.34261488630415415,0.127552088863071,-0.07669558483974204,0.0004656216502119524,0.0,1.3379186896756257
10,Man United,2015-08-14,0.880697731728931,1,0.06328394596899987,0.0,0.127552088863071,-0.07669558483974204,0.0004656216502119524,0.05238281082503731,1.047686614196509
11,West Ham,2015-08-15,0.880697731728931,1,0.06328394596899987,0.34261488630415415,0.127552088863071,-0.07669558483974204,0.0004656216502119524,0.0,1.3379186896756257
11,Leicester,2015-08-15,0.880697731728931,2,0.06711933663378775,0.0,0.127552088863071,-0.07669558483974204,0.0004656216502119524,0.05238281082503731,1.051522004861297
12,Watford,2015-08-15,0.880697731728931,0,0.06711933663378775,0.34261488630415415,0.042517362954357006,-0.0,0.0004656216502119524,0.0,1.3334149392714418
12,West Brom,2015-08-15,0.880697731728931,0,0.05859624626759248,0.0,0.0,-0.02556519494658068,0.0004656216502119524,0.05238281082503731,0.9665772155251919
13,Tottenham,2015-08-15,0.880697731728931,2,0.06711933663378775,0.34261488630415415,0.0,-0.0,0.0004656216502119524,0.0,1.290897576317085
13,Stoke,2015-08-15,0.880697731728931,2,0.06328394596899987,0.0,0.0,-0.0,0.0004656216502119524,0.05238281082503731,0.99683011017318
14,Southampton,2015-08-15,0.880697731728931,0,0.06328394596899987,0.34261488630415415,0.042517362954357006,-0.02556519494658068,0.0004656216502119524,0.0,1.304014353660073
14,Everton,2015-08-15,0.880697731728931,3,0.06711933663378775,0.0,0.042517362954357006,-0.02556519494658068,0.0004656216502119524,0.05238281082503731,1.0176176688457443
