PLAYER_NAME,USG_PCT,AST_PCT,REB_PCT,OREB_PCT,DREB_PCT,TS_PCT,E_TOV_PCT,PACE,MIN_TOTAL,GP,CLUSTER,ARCHETYPE,DIST_TO_CENTROID
Aaron Brooks,0.224,0.24933333333333332,0.043333333333333335,0.020666666666666667,0.06566666666666666,0.5153333333333333,11.6,97.29666666666667,4552.1,223,2,Ball-Dominant Playmaker,0.7820350903238623
Aaron Gordon,0.16,0.08349999999999999,0.119,0.069,0.16999999999999998,0.529,10.05,97.515,2663.2,125,1,Scoring Big / Power Forward,1.3832703790303849
Adreian Payne,0.174,0.08,0.118,0.055,0.183,0.4325,15.15,96.15,1222.8000000000002,84,1,Scoring Big / Power Forward,2.9163980038191726
Al Horford,0.222,0.16066666666666665,0.12,0.063,0.17333333333333334,0.572,8.433333333333332,97.52,5907.200000000001,187,1,Scoring Big / Power Forward,1.3208361669588105
Al Jefferson,0.266,0.11533333333333333,0.14200000000000002,0.054,0.231,0.513,5.866666666666667,94.81333333333333,5639.1,185,1,Scoring Big / Power Forward,2.3958651224249645
Al-Farouq Aminu,0.15066666666666667,0.07733333333333332,0.11666666666666665,0.062,0.17233333333333334,0.5176666666666666,11.200000000000001,97.10333333333334,5754.0,236,1,Scoring Big / Power Forward,1.5955430787359146
Alan Anderson,0.14866666666666667,0.08666666666666667,0.059,0.015666666666666666,0.10166666666666667,0.5276666666666666,7.066666666666666,96.52333333333333,3709.4,165,0,3-and-D / Role Player,1.1360044068447588
Alec Burks,0.22799999999999998,0.151,0.06533333333333334,0.02266666666666667,0.10966666666666668,0.5303333333333334,10.533333333333333,93.69666666666667,3887.6,136,2,Ball-Dominant Playmaker,2.069405753031674
Alex Len,0.15633333333333335,0.04466666666666667,0.14633333333333334,0.09633333333333333,0.19666666666666668,0.49766666666666665,17.0,99.63666666666666,3696.6000000000004,189,3,Glass Anchor / Traditional Center,2.2072787734031736
Alexey Shved,0.22849999999999998,0.21100000000000002,0.059,0.0275,0.093,0.49650000000000005,10.399999999999999,97.61,1430.1,105,2,Ball-Dominant Playmaker,1.1137684292042545
Alexis Ajinca,0.19133333333333336,0.07,0.159,0.102,0.216,0.566,14.4,95.05333333333334,2772.2,183,3,Glass Anchor / Traditional Center,1.3094317170906287
Allen Crabbe,0.14133333333333334,0.08066666666666666,0.048666666666666664,0.010666666666666666,0.085,0.524,7.033333333333334,98.96333333333332,2889.9,147,0,3-and-D / Role Player,1.726923698025134
Alonzo Gee,0.129,0.06533333333333334,0.071,0.04066666666666666,0.10133333333333333,0.537,12.566666666666668,98.71,3314.5,192,0,3-and-D / Role Player,1.6984306667890599
Amar'e Stoudemire,0.21466666666666667,0.054,0.13533333333333333,0.08766666666666667,0.18266666666666667,0.5966666666666667,12.5,93.35666666666667,3478.3,176,3,Glass Anchor / Traditional Center,2.353852457091156
Amir Johnson,0.151,0.09566666666666668,0.12133333333333333,0.08466666666666667,0.15733333333333333,0.599,13.466666666666667,95.47666666666667,5998.8,231,3,Glass Anchor / Traditional Center,1.5053674610981702
