feature,importance
club_code,0.12414918
month,0.11971685
match_day,0.08681847
cum_form,0.06959117
dow,0.028416703
day_after_match,0.019894993
loss,0.0073817126
margin,0.007241396
prev_margin,0.005746594
home_match,0.0038690171
day_after_home,0.0026883273
day_after_loss,0.002638819
draw,0.0023697463
day_after_win,0.0017843292
win,0.0016667501
day_after_draw,0.00066259934
