event,n_before,n_after,vader_before,vader_after,vader_t,vader_p,bert_before,bert_after,bert_t,bert_p
Doncic to Lakers,202,1128,0.03134900990099011,0.05468306737588653,-0.8843298100430941,0.37726167704161584,-0.07765932071326982,-0.019808682302633922,-0.8193766564813055,0.413258546531537
Durant to Suns,454,361,0.08320660792951542,0.09382022160664821,-0.44488655446256686,0.6565291482723411,0.0074306647683030184,0.037690318192141206,-0.4512951299685832,0.651903280383301
Harden to Nets,564,495,0.001881737588652481,0.11038727272727272,-5.069645107727076,4.703314440781808e-07,-0.23312220093629038,0.2186221936736444,-7.904265475780352,6.852098124444027e-15
POOLED (all 3 trades),1220,1984,0.03702426229508197,0.0757022681451613,-3.0218262819300725,0.0025374924304458974,-0.11786441172732681,0.050141127569781195,-4.887437987844945,1.083650826280982e-06
