PLAYER_NAME,PLAYER_POSITION,HEIGHT_IN,DRAFT_PICK
Keith Appling,SG,73.0,61
Rafael Araujo,C,83.0,8
Stacey Arceneaux,SF,76.0,61
Nate Archibald,SG,73.0,49
Robert Archibald,SF,83.0,61
Ryan Arcidiacono,SG,75.0,61
Jim Ard,C,81.0,6
Gilbert Arenas,SG,76.0,60
Trevor Ariza,SF,80.0,73
Paul Arizin,SF,76.0,61
Joe Arlauckas,SF,81.0,164
B.J. Armstrong,SG,74.0,18
Bob Armstrong,C,80.0,61
Brandon Armstrong,SG,77.0,23
Darrell Armstrong,SG,73.0,61
Hilton Armstrong,PF,83.0,12
Paul Armstrong,SG,71.0,61
Taran Armstrong,SG,77.0,61
Tate Armstrong,SG,75.0,13
Jesse Arnelle,SF,77.0,43
Jay Arnette,SG,74.0,39
Bob Arnzen,SF,77.0,313
Carlos Arroyo,SG,74.0,61
Darrell Arthur,SF,81.0,27
John Arthurs,SG,76.0,223
Jamel Artis,SG,79.0,61
Omer Asik,C,84.0,66
Vincent Askew,SF,78.0,69
Keith Askins,SF,80.0,61
Don Asmonga,SG,74.0,61
Richard Atha,SG,74.0,61
Chucky Atkins,SG,71.0,61
Alvin Attles,SG,73.0,159
Chet Aubuchon,SG,70.0,61
Stacey Augmon,SF,80.0,9
D.J. Augustin,SG,71.0,9
James Augustine,SF,82.0,71
Ike Austin,C,82.0,78
John Austin,SG,72.0,128
Ken Austin,SF,81.0,221
Deni Avdija,SF,80.0,9
Anthony Avent,C,81.0,15
William Averitt,SG,74.0,145
William Avery,SG,74.0,14
Dennis Awtrey,C,82.0,106
Joel Ayayi,SG,76.0,61
Gustavo Ayon,PF,82.0,61
Jeff Ayres,PF,81.0,61
Deandre Ayton,C,84.0,1
Kelenna Azubuike,SG,77.0,61
Udoka Azubuike,PF,83.0,27
Chris Babb,SG,77.0,61
Luke Babbitt,SF,81.0,16
Milos Babic,C,84.0,80
Johnny Bach,SF,74.0,61
Dwayne Bacon,SG,78.0,70
Ibou Badji,C,84.0,61
Jim Baechtold,SF,76.0,2
Dalibor Bagaric,C,85.0,24
John Bagley,SG,72.0,12
Marcus Bagley,SF,78.0,61
Marvin Bagley III,SF,82.0,2
Ace Bailey,SF,81.0,5
Amari Bailey,SG,75.0,71
Carl Bailey,C,84.0,126
Gus Bailey,SG,77.0,53
James Bailey,SF,81.0,6
Thurl Bailey,SF,83.0,7
Toby Bailey,SG,78.0,75
Cameron Bairstow,PF,81.0,79
Mark Baker,SG,73.0,61
Maurice Baker,SG,73.0,61
Norm Baker,SG,72.0,61
Ron Baker,SG,76.0,61
Vin Baker,SF,83.0,8
Adama Bal,SG,79.0,61
Wade Baldwin IV,SG,76.0,17
Patrick Baldwin Jr.,SF,84.0,28
Renaldo Balkman,SF,80.0,20
Cedric Ball,SF,80.0,61
LaMelo Ball,SG,79.0,3
Lonzo Ball,SG,78.0,2
Greg Ballard,SF,79.0,4
Herschel Baltimore,SF,76.0,61
Mo Bamba,C,84.0,6
Paolo Banchero,SF,82.0,1
Desmond Bane,SG,78.0,30
Gene Banks,SF,79.0,58
Marcus Banks,SG,74.0,13
Ken Bannister,SF,81.0,336
Mike Bantom,SF,81.0,8
Dalano Banton,SF,80.0,76
Cat Barber,SG,73.0,61
John Barber,SF,78.0,61
Leandro Barbosa,SG,75.0,28
Stephen Bardo,SG,77.0,71
J.J. Barea,SG,70.0,61
Andrea Bargnani,PF,84.0,1
Cliff Barker,SG,74.0,61
Tom Barker,C,83.0,143
Charles Barkley,SF,78.0,5
Erick Barkley,SG,73.0,28
Don Barksdale,SF,78.0,61
Dominick Barlow,SF,81.0,61
Harrison Barnes,SF,79.0,7
Harry Barnes,SF,75.0,127
Jim Barnes,C,80.0,1
