PLAYER_NAME,USG_PCT,AST_PCT,REB_PCT,OREB_PCT,DREB_PCT,TS_PCT,E_TOV_PCT,PACE,MIN_TOTAL,GP,CLUSTER,ARCHETYPE,DIST_TO_CENTROID
Aaron McKie,0.09500000000000001,0.15033333333333335,0.074,0.021666666666666667,0.12666666666666668,0.444,9.933333333333334,93.33999999999999,3365.6000000000004,157,0,3-and-D / Role Player,2.0878987180008974
Aaron Williams,0.1446666666666667,0.06466666666666666,0.11233333333333334,0.07266666666666667,0.15433333333333332,0.5393333333333333,15.066666666666668,93.07666666666667,2442.0,162,3,Glass Anchor / Traditional Center,1.1660827423600941
Adonal Foyle,0.112,0.042,0.12633333333333333,0.08766666666666667,0.16566666666666666,0.503,14.1,93.48666666666668,4101.7,199,3,Glass Anchor / Traditional Center,0.9684481846213185
Adrian Griffin,0.10733333333333334,0.12433333333333334,0.09433333333333334,0.04933333333333333,0.138,0.40599999999999997,10.533333333333333,93.82666666666667,2019.9,140,0,3-and-D / Role Player,2.529119304493247
Al Harrington,0.23933333333333331,0.13666666666666666,0.103,0.059000000000000004,0.15033333333333335,0.5116666666666667,12.1,90.78000000000002,7770.299999999999,221,1,Scoring Big / Power Forward,1.4961270642946254
Al Jefferson,0.2105,0.0485,0.1495,0.1095,0.188,0.542,12.2,93.96,2105.7,130,3,Glass Anchor / Traditional Center,1.9940263245130663
Alan Henderson,0.1366666666666667,0.039,0.14366666666666666,0.143,0.146,0.537,13.6,93.16666666666667,1791.6,135,3,Glass Anchor / Traditional Center,1.9234305910963678
Allan Houston,0.22549999999999998,0.114,0.029,0.01,0.0475,0.534,8.45,92.22,2329.0,70,2,Ball-Dominant Playmaker,2.180340244406174
Allen Iverson,0.3443333333333333,0.33899999999999997,0.043000000000000003,0.016,0.07,0.5176666666666666,10.233333333333333,94.96,8320.5,195,2,Ball-Dominant Playmaker,3.498301236857535
Alonzo Mourning,0.19733333333333336,0.04633333333333333,0.11433333333333333,0.07366666666666667,0.15133333333333335,0.5626666666666668,13.866666666666667,92.01333333333332,2219.0,114,1,Scoring Big / Power Forward,1.3471530425837506
Alvin Williams,0.17099999999999999,0.1185,0.022,0.0055,0.17550000000000002,0.29600000000000004,4.65,97.41,1745.8,57,0,3-and-D / Role Player,5.216812558453957
Amar'e Stoudemire,0.27666666666666667,0.06933333333333334,0.13066666666666668,0.08833333333333333,0.17200000000000001,0.5243333333333333,8.6,96.96333333333332,4962.4,138,1,Scoring Big / Power Forward,2.8380567448121004
