PLAYER_NAME,SEASON,CLUSTER,ARCHETYPE,DIST_TO_CENTROID,UMAP_1,UMAP_2,USG_PCT,AST_PCT,REB_PCT,OREB_PCT,DREB_PCT,TS_PCT,E_TOV_PCT,PACE
Jason Kidd,2004-05,4,Cluster 4,2.6371477629753812,-0.4925978,1.8356625,0.206,0.368,0.103,0.039,0.169,0.506,10.1,92.22
Jason Richardson,2004-05,4,Cluster 4,1.5285163759864517,2.3790796,0.8729733,0.267,0.185,0.075,0.042,0.11,0.518,8.6,95.42
Jason Terry,2004-05,4,Cluster 4,2.1768831028912294,0.1247305,1.2685851,0.177,0.278,0.039,0.017,0.061,0.606,10.5,94.78
Jason Williams,2004-05,0,Cluster 0,2.077098434309336,0.057971142,1.9799587,0.189,0.339,0.032,0.01,0.055,0.522,10.7,91.5
Jeff Foster,2004-05,5,Cluster 5,2.123242168090221,7.3083587,5.896087,0.129,0.047,0.179,0.135,0.222,0.551,11.4,89.45
Jeff McInnis,2004-05,0,Cluster 0,2.0253856180735768,0.6555215,2.4536805,0.183,0.237,0.03,0.012,0.05,0.495,7.8,91.95
Jermaine O'Neal,2004-05,1,Cluster 1,3.335484177684644,7.529012,3.7906752,0.358,0.124,0.134,0.06,0.205,0.52,10.6,89.14
Jerome James,2004-05,3,Cluster 3,2.8657874672812444,6.0905275,4.7325172,0.161,0.024,0.096,0.063,0.131,0.533,18.4,88.02
Jerome Williams,2004-05,5,Cluster 5,1.418258330653025,5.7385573,5.809822,0.14,0.055,0.123,0.097,0.151,0.563,15.3,92.65
Jerry Stackhouse,2004-05,4,Cluster 4,1.5200525742784765,2.6323338,0.96121955,0.244,0.137,0.056,0.024,0.086,0.525,10.3,95.64
Jim Jackson,2004-05,2,Cluster 2,1.7837007497297805,3.5919514,1.5057462,0.16,0.147,0.066,0.017,0.11,0.553,12.7,95.7
Jiri Welsch,2004-05,2,Cluster 2,1.5822044770490584,3.5944686,1.8076046,0.173,0.12,0.066,0.021,0.111,0.518,11.7,96.48
Joe Johnson,2004-05,2,Cluster 2,1.8545012201083435,3.0944219,1.6388378,0.187,0.13,0.062,0.037,0.083,0.556,8.7,98.0
Joe Smith,2004-05,1,Cluster 1,1.8411714334334475,4.446989,4.170149,0.155,0.047,0.12,0.078,0.164,0.564,9.1,92.94
Joel Przybilla,2004-05,5,Cluster 5,1.8655865655274266,6.958933,6.2848587,0.123,0.063,0.162,0.102,0.218,0.596,16.9,92.17
Jason Kapono,2004-05,2,Cluster 2,2.1217684782291677,2.6978743,2.213455,0.217,0.072,0.053,0.02,0.09,0.486,5.6,96.41
Jason Collins,2004-05,3,Cluster 3,1.6883573576274935,3.9943905,5.1668878,0.117,0.066,0.1,0.062,0.14,0.471,12.3,90.52
Greg Buckner,2004-05,2,Cluster 2,2.72701662406081,3.406751,2.037156,0.111,0.127,0.071,0.045,0.096,0.638,9.4,96.1
Jarvis Hayes,2004-05,2,Cluster 2,1.532820624922934,3.1086342,3.0331635,0.177,0.093,0.071,0.024,0.123,0.475,8.4,95.83
Hedo Turkoglu,2004-05,4,Cluster 4,1.9107316729348176,2.7783031,1.0061128,0.241,0.153,0.065,0.034,0.095,0.532,10.3,97.66
Howard Eisley,2004-05,0,Cluster 0,1.6580663102809736,-0.40684915,2.600775,0.178,0.299,0.035,0.011,0.059,0.47,13.8,89.75
Ira Newble,2004-05,2,Cluster 2,1.8325084951911919,2.1021602,3.7250922,0.125,0.074,0.061,0.043,0.08,0.482,10.1,92.16
JR Smith,2004-05,0,Cluster 0,2.021127556035632,0.7677174,3.20632,0.226,0.142,0.042,0.02,0.066,0.478,10.2,89.89
Jackson Vroman,2004-05,5,Cluster 5,2.4884624337549783,5.72746,5.255659,0.186,0.095,0.129,0.09,0.174,0.457,19.0,93.1
Jacque Vaughn,2004-05,0,Cluster 0,1.5847389733250579,0.79070324,2.9433076,0.14,0.169,0.04,0.012,0.068,0.511,11.0,92.04
Jalen Rose,2004-05,4,Cluster 4,1.457624893718769,2.653251,1.0692024,0.248,0.14,0.052,0.016,0.089,0.562,10.5,94.82
Jamaal Magloire,2004-05,5,Cluster 5,2.24903373674018,6.5627174,4.971198,0.22,0.076,0.15,0.107,0.2,0.48,16.0,89.15
Jamaal Tinsley,2004-05,4,Cluster 4,1.8003373569813625,0.41076517,1.0707138,0.255,0.35,0.065,0.021,0.108,0.518,13.6,92.19
Jamal Crawford,2004-05,4,Cluster 4,1.381031920833331,0.9965776,2.1953156,0.221,0.19,0.039,0.012,0.067,0.521,9.0,93.48
Jameer Nelson,2004-05,4,Cluster 4,1.9138155497994773,-0.56343275,0.68003404,0.209,0.244,0.058,0.032,0.085,0.51,11.4,97.93
James Jones,2004-05,2,Cluster 2,1.527004269786413,2.095168,3.2658744,0.139,0.077,0.069,0.032,0.104,0.537,9.7,90.73
James Posey,2004-05,3,Cluster 3,1.7176026615516722,3.221831,4.3780394,0.161,0.11,0.084,0.035,0.132,0.5,12.3,90.12
Jared Jeffries,2004-05,3,Cluster 3,1.6293482987870052,4.850273,5.161357,0.134,0.115,0.092,0.072,0.113,0.513,14.7,96.07
Jarron Collins,2004-05,3,Cluster 3,1.485036087690953,4.002127,5.057296,0.117,0.091,0.093,0.063,0.123,0.509,11.2,91.63
David Wesley,2004-05,2,Cluster 2,1.5785431615894905,0.8754408,2.7448678,0.168,0.159,0.042,0.014,0.071,0.513,8.7,91.29
Darrick Martin,2004-05,0,Cluster 0,3.1753164022110876,-0.3651914,3.2420127,0.148,0.235,0.027,0.016,0.037,0.392,6.9,88.36
Jon Barry,2004-05,2,Cluster 2,1.6947069479097188,1.6963655,2.861445,0.143,0.177,0.055,0.018,0.089,0.57,10.6,91.79
Bob Sura,2004-05,3,Cluster 3,2.2408050932266077,-0.65481555,2.1208196,0.174,0.266,0.091,0.043,0.137,0.533,14.0,92.0
Antonio Daniels,2004-05,4,Cluster 4,2.0573458932580913,0.9283793,2.2116683,0.185,0.261,0.044,0.01,0.077,0.557,6.8,91.94
Antonio Davis,2004-05,3,Cluster 3,0.8494995114623478,5.294333,5.567828,0.143,0.071,0.114,0.081,0.148,0.516,14.5,93.08
Antonio McDyess,2004-05,1,Cluster 1,1.8021515329908586,7.531431,4.934257,0.198,0.073,0.141,0.102,0.181,0.542,11.0,88.96
Austin Croshere,2004-05,3,Cluster 3,1.0951135684269424,6.064081,4.1583867,0.18,0.099,0.11,0.06,0.162,0.531,12.8,91.28
Baron Davis,2004-05,4,Cluster 4,1.7810922622550187,0.6483564,1.0142558,0.273,0.391,0.053,0.019,0.09,0.515,9.7,92.96
Ben Gordon,2004-05,4,Cluster 4,1.8615911489766832,2.583718,0.7155133,0.294,0.165,0.052,0.027,0.074,0.526,12.2,95.4
Ben Wallace,2004-05,5,Cluster 5,2.9557551726206603,7.654967,5.251244,0.15,0.075,0.169,0.111,0.227,0.459,8.3,89.23
